[2026-06-23T23:31:00.099Z] GET https://www.joshwcomeau.com/sounds/plunger-immediate.mp3 → pending (?ms, ?B)
[2026-06-23T23:31:00.099Z] GET https://www.joshwcomeau.com/sounds/plunger-immediate.mp3 → 200 (69ms, ?B)
[2026-06-23T23:31:00.099Z] GET https://www.joshwcomeau.com/sounds/plunger-immediate.mp3 → 200 (57ms, 10045B)
[2026-06-23T23:31:00.100Z] GET https://www.joshwcomeau.com/sounds/plunger-immediate.mp3 → 200 (23ms, 10045B)
[2026-06-23T23:31:00.100Z] GET https://www.joshwcomeau.com/sounds/enable-sound.mp3 → 200 (61ms, 6918B)
[2026-06-23T23:31:00.100Z] GET https://www.joshwcomeau.com/sounds/disable-sound.mp3 → 200 (61ms, 5870B)
[2026-06-23T23:31:00.100Z] GET https://www.joshwcomeau.com/sounds/switch-on.mp3 → 200 (57ms, 1760B)
[2026-06-23T23:31:00.100Z] GET https://www.joshwcomeau.com/sounds/switch-off.mp3 → 200 (57ms, 2336B)
[2026-06-23T23:31:00.101Z] GET https://www.joshwcomeau.com/sounds/flap.mp3 → 200 (23ms, 91232B)
[2026-06-23T23:31:00.101Z] GET https://www.joshwcomeau.com/sounds/enable-sound.mp3 → 200 (30ms, 6918B)
[2026-06-23T23:31:00.101Z] GET https://www.joshwcomeau.com/sounds/disable-sound.mp3 → 200 (31ms, 5870B)
[2026-06-23T23:31:00.101Z] GET https://www.joshwcomeau.com/sounds/switch-on.mp3 → 200 (22ms, 1760B)
[2026-06-23T23:31:00.103Z] GET https://www.joshwcomeau.com/sounds/switch-off.mp3 → 200 (21ms, 2336B)
[2026-06-23T23:31:00.112Z] GET https://cdn.usefathom.com/script.js → 200 (59ms, ?B)
[2026-06-23T23:31:00.112Z] GET https://www.joshwcomeau.com/about-josh/?_rsc=221yf → pending (?ms, ?B)
[2026-06-23T23:31:00.112Z] GET https://www.joshwcomeau.com/animation/css-vs-javascript/?_rsc=y4cul → 200 (48ms, 85325B)
[2026-06-23T23:31:00.118Z] GET https://www.joshwcomeau.com/animation/scroll-driven-animations/?_rsc=y4cul → 200 (38ms, 141727B)
[2026-06-23T23:31:00.118Z] GET https://www.joshwcomeau.com/css/?_rsc=y4cul → 200 (34ms, 60014B)
[2026-06-23T23:31:00.119Z] GET https://www.joshwcomeau.com/react/?_rsc=y4cul → 200 (25ms, 52964B)
[2026-06-23T23:31:00.120Z] GET https://www.joshwcomeau.com/sounds/pop-down.mp3 → 200 (36ms, 2536B)
[2026-06-23T23:31:00.120Z] GET https://www.joshwcomeau.com/sounds/pop-up-on.mp3 → 200 (21ms, 2536B)
[2026-06-23T23:31:00.122Z] GET https://www.joshwcomeau.com/sounds/pop-up-off.mp3 → 200 (22ms, 3788B)
[2026-06-23T23:31:00.150Z] GET https://www.joshwcomeau.com/_next/static/css/6eba673daf887b0f.css → 200 (17ms, 18731B)
[2026-06-23T23:31:00.152Z] GET https://www.joshwcomeau.com/_next/static/chunks/app/%5BcategorySlug%5D/page-38f1b0505fe5aca6.js → pending (?ms, ?B)
[2026-06-23T23:31:00.152Z] GET https://www.joshwcomeau.com/animation/?_rsc=y4cul → pending (?ms, ?B)
[2026-06-23T23:31:00.157Z] GET https://www.joshwcomeau.com/career/?_rsc=y4cul → pending (?ms, ?B)
[2026-06-23T23:31:00.157Z] GET https://www.joshwcomeau.com/_next/static/css/cb046b941de0cc51.css → 200 (12ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/css/422e1c018cbab5f0.css → 200 (14ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/css/e7ee2116c542d05c.css → 200 (10ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/chunks/88996-583d9da3f1eb1c14.js → 200 (17ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/chunks/95121-87738844c7e583f8.js → pending (?ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/chunks/7325-eaec221c426fc66d.js → pending (?ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/chunks/97653-9d9bfe9a9adbe183.js → 200 (10ms, ?B)
[2026-06-23T23:31:00.158Z] GET https://www.joshwcomeau.com/_next/static/chunks/81171-978f7915ba85f21b.js → 200 (11ms, ?B)
[2026-06-23T23:31:00.159Z] GET https://www.joshwcomeau.com/_next/static/chunks/54213-a542f01c7cd0c491.js → 200 (18ms, ?B)
[2026-06-23T23:31:00.159Z] GET https://www.joshwcomeau.com/_next/static/chunks/39782-9ec9d1ea1ed75452.js → 200 (16ms, ?B)
[2026-06-23T23:31:00.159Z] GET https://www.joshwcomeau.com/_next/static/chunks/app/%5BcategorySlug%5D/%5BcontentSlug%5D/page-60e7c16f535bf342.js → 200 (18ms, ?B)
[2026-06-23T23:31:00.159Z] GET https://www.joshwcomeau.com/javascript/?_rsc=y4cul → pending (?ms, ?B)
[2026-06-23T23:31:00.160Z] GET https://www.joshwcomeau.com/svg/?_rsc=y4cul → pending (?ms, ?B)
[2026-06-23T23:31:00.171Z] GET https://cdn.usefathom.com/?h=https%3A%2F%2Fwww.joshwcomeau.com&p=%2F&r=&sid=IWUODFHK&qs=%7B%7D&cid=44487234 → pending (?ms, ?B)
[2026-06-23T23:31:00.181Z] GET https://www.joshwcomeau.com/nextjs/?_rsc=y4cul → 200 (17ms, 30674B)
[2026-06-23T23:31:00.182Z] GET https://www.joshwcomeau.com/blog/?_rsc=y4cul → 200 (15ms, 39350B)
[2026-06-23T23:31:00.182Z] GET https://www.joshwcomeau.com/css/interactive-guide-to-flexbox/?_rsc=y4cul → 200 (18ms, 139779B)
[2026-06-23T23:31:00.182Z] GET https://www.joshwcomeau.com/css/custom-css-reset/?_rsc=y4cul → 200 (18ms, 192574B)
[2026-06-23T23:31:00.197Z] GET https://www.joshwcomeau.com/animation/css-transitions/?_rsc=y4cul → 200 (39ms, 129865B)
[2026-06-23T23:31:18.448Z] GET https://linear.app/ → 200 (329ms, 2437574B)
[2026-06-23T23:31:18.795Z] GET https://webassets.linear.app/images/ornj730p/production/f79251b06e9edeeacbf2875384defe629e000b3c-352x352.png?w=72&q=95&auto=format&dpr=2 → 200 (386ms, 2404B)
[2026-06-23T23:31:18.795Z] GET https://static.linear.app/web/_next/static/css/Providers.qSrgnk7B.css → 200 (383ms, 2309B)
[2026-06-23T23:31:18.795Z] GET https://static.linear.app/web/_next/static/css/Toast.pcGZUK31.css → 200 (374ms, 716B)
[2026-06-23T23:31:18.796Z] GET https://static.linear.app/web/_next/static/css/Grid.Cds8fjKR.css → 200 (380ms, 921B)
[2026-06-23T23:31:18.796Z] GET https://static.linear.app/web/_next/static/css/StatusPage.BYDaMjMd.css → 200 (380ms, 3734B)
[2026-06-23T23:31:18.796Z] GET https://static.linear.app/web/_next/static/css/Link.Tpxbzi3N.css → 200 (362ms, 1570B)
[2026-06-23T23:31:18.796Z] GET https://static.linear.app/web/_next/static/css/utils.5l1Pf81z.css → 200 (375ms, 3280B)
[2026-06-23T23:31:18.802Z] GET https://static.linear.app/web/_next/static/css/Button.dcAi4KbO.css → 200 (378ms, 6379B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/Header.DrX8EJz9.css → 200 (376ms, 17012B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/Flex.BEZjGLsi.css → 200 (376ms, 2688B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/ThemeToggle._YM9yPbG.css → 200 (373ms, 757B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/IconButton.3p32EmO1.css → 200 (372ms, 89B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/KBD.ByHmXOx_.css → 200 (373ms, 1455B)
[2026-06-23T23:31:18.803Z] GET https://static.linear.app/web/_next/static/css/Tooltip.mgHd0F-S.css → 200 (376ms, 1086B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Icon.B18TDZc7.css → 200 (373ms, 351B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Spacer.mYgpGelO.css → 200 (376ms, 288B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/CommandMenu.DVY7V9_S.css → 200 (375ms, 4664B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Image.D-bf8CPN.css → 200 (375ms, 885B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Zoom.krMPHN5w.css → 200 (372ms, 618B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/SidePanel.CXpCHa9Z.css → 200 (371ms, 1705B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/SidePanelRenderer.DoWKbQcF.css → 200 (373ms, 3273B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/DefaultRenderer.DJc-J-pv.css → 200 (366ms, 14929B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/tweet-info-created-at.C873vD7S.css → 200 (354ms, 257B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Tabs.UwA_7SNX.css → 200 (353ms, 1992B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/tweet-media-video.Do8maEW8.css → 200 (353ms, 2220B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/quoted-tweet-container.g1D8GTJu.css → 200 (376ms, 390B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/VideoPlayer.DNAZEJf0.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Badge.CNOVCKsB.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/CopyButton.BluMS353.css → 200 (377ms, 533B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Collapsibles.CKjyh1cv.css → 200 (377ms, 3088B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Note.BbkP0Nnd.css → 200 (374ms, 8522B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/LinkAnchor.DtA2msdz.css → 200 (376ms, 839B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Separator.RnTSqYU1.css → 200 (374ms, 726B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Stats.B54k2VBO.css → 200 (374ms, 1858B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Dialog.CwVvSJva.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Hero.CjnrEQBT.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Grain.D_EBlr94.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/CollapseArrowIcon.Q6nTXUvX.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Bleed.CbcodEv9.css → pending (?ms, ?B)
[2026-06-23T23:31:18.804Z] GET https://static.linear.app/web/_next/static/css/Logos.CSMdNI7r.css → 200 (377ms, 1131B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/Marquee.Dz6fDVMv.css → 200 (376ms, 2599B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/Benefits.B1OkJ3i9.css → pending (?ms, ?B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/Carousel.CC7yImfT.css → pending (?ms, ?B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/SlackIssue.MPbN6ev8.css → pending (?ms, ?B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/Pillar.DaIvMtkE.css → 200 (375ms, 1294B)
[2026-06-23T23:31:18.805Z] GET https://static.linear.app/web/_next/static/css/PageSection.DTpETQuw.css → pending (?ms, ?B)
